Query,Response
"Section 1 of Chapter I in Code of Criminal Procedure, 1898 (Short Title and Commencement): What does it say?","(1) This Act may be called the Code of Criminal Procedure, 1898; and it shall come into force on the first day of July 1898. (2) Extent: It extends to the whole of, Pakistan but, in the absence of any specific provision to the contrary, nothing herein, cont ained shall affect any special or local law, new in force, or any special jurisdiction or power conferred or any special form of procedure prescribe by any other law for the time being in force. 2. [Repeal of enactments, notifications, et c., under repealed Acts, Pending cases]: Repealed by the Repealing and Amending Act, 1914 (X of 1914)."
"What is Section 3 of Chapter I of Code of Criminal Procedure, 1898 (References to Code of Criminal Procedure and other repealed enactments) about?","in every enactment passed before this Code comes into force in which reference is made to, or to any Chapter or section of the C ode of Criminal Procedure, Act XXV of 1861 or Act X Of 1872, or Act X of 1882, or to any other enactment hereby repealed, such, reference so far as may be practical be taken to be made to this Code or to its corresponding chapter or section. (2) Expressions in former Acts: In every enactment passed before this Code comes into force, the expressions ""Officer exercising (or 'having') the powers (or the full powers) of a Magistrate,"" Subordinate Magistrate Fi rst Class"" and ""Subordinate Magistrate, Second class"" shall respectively be deemed to mean ""Magi strate of the First class"", ""Magistrate of the Second Class"" and Magist rate of the Third Class"". And the expression joint Sessions Judge shall mean ""Additional Sessions Judge""."
"What is stated in Section 4 of Chapter I of Code of Criminal Procedure, 1898 (Definitions)?","(1) In this Code the following word s and expressions have the following meanings, unless a different intention appear s from the subject or content:- (a)""Advocate-General: ""Advocate-General includes also a Government Advocate or, where there is no Advocate-General or Gove rnment Advocate, such officer as the Provincial Government may, from ti me to time, appoint in this behalf. (b) ""Bailable offence, ""non-bailable offence"": ""Bailable offence"" means an offence shown as bailable in the Second Schedule or which is made bailable by any other law for the time being in force; and ""non-bail able offence means any other offence. (c) Charge: ""Charge"" includes any head of charge when the charge contains more than one. (d) [Rep. by Act (XI of 1923), section 3 and Schd. I] (e) [Omitted by Law Reforms Or dinance (XII of 1972), Schd. Item I]. (f) ''Cognizable offence"" , ""cognizable case"": ""Cognizable offence"" means an offence for, and cognizable case"" means a ease in which a police officer, may, in accordance with the second Schedule or under any law for the time being in force, arrest without warrant. (g) [Rep. by the A.O. 1949] (h) .''Complaint: Complaint means the allegation made orally or in writing to a Magistrate, with a vi ew to his taking action, under this Code that some person whether known or unknown, has committed an offence, but it does not include the report of a police officer. (i) [Rep. by the Act II of 1950] (j) ""High Court"": ""High Court"" means the highest Court of criminal appeal or revision for a province, (k) Inquiry"" : ""Inquiry"" includes every inquiry other that a trial conducted under this Code by a Magistrate or Court. (l) ""Investigation "": -Investigation"" includes all the proceedings under this Code for the collection of evidence conducted by a police officer or by any person (other than a Magistrate) who is authorised by a Magistrate in this behalf. (m) Judicial Proceeding"" : ""Judicial proceeding"" includes any proceeding in the course of which evidence is or may be legally taken on oath. (m-a) ""Magistrate "" means a Judicial Magnate and includes a Special Judicial Magistrate appointed under Sections 12 and 14. Clause m-a inserted. by Ordinanc e, XXXVII of 2001, dt.l3-8-2001. (n) ""Non-cognizable offence, "" ""Non-cognizable case "": ""Non-cognizable offence means an offence for, and ""non-cognizable case"" means a case in which a police officer, may not arrest with our warrant. (o) ""Offence "": ""Offence"" means any act or omissi on made punishable by any law for the time being in force; it also includes any ac t in respect of which a complainant may be made under Section 20 of the Cattle Trespass Act, 1871. (p) ""Officer incharge of a police station "": ""Officer incharge of a police station"" induces, when the officer incharge of t he police station is-absent from tile station house or unable from illness or cause to perform his duties, the police officer present at the station house who is next in rank to such officer and is above the rank of constable or when the Provincial Government so directs, any other police officer so present. (q) ""Place "": ""Place"" includes also a house, build ing, tent and vessel. (r) ""Pleader "": ""Pleader"" used with reference to any proceeding in any Court means a pleader for a mukhtar authorised under any law for the time being in force to practise in such Court, and includes (1) an advocate, a vakil and an attorney of a High Court so authorised and (2) any other .person appointed with permission of the court to act in such proceeding. (s) ""Police station "": Police Station means any pos t or place declared, generally or specially, by the Provincial Government to be a police station, and in cludes any local area specified by the Provincial Government in this behalf. (t) ""Public Prosecutor "": ""Public Prosecutor means any person appointed under Section 492, and includes any person acti ng under the directions of a Public Prosecutor and any person conducting a prosecution on behalf of the State in any High Court in the exercise of its original criminal jurisdiction. (u) ""Sub-division "": Sub-division means a sub-division of a district. (v) & (w) [Omitted by Law Reforms Or dinance, XII of 1972, Sched, item 1] (2): Words referring to acts : Words which refer to acts done, extend also to illegal omissions; and words to have same meaning as in Pakistan Penal Code : All words and expressions used herein and defined in the Pakistan Penal Code, and not herein before defined, shall be deemed to have the meanings respectively attributed to them by that Code."
"What is stated in Section 5 of Chapter I of Code of Criminal Procedure, 1898 (Trial of offences under Penal Code)?","(1) All offences, under the Pakistan Penal Code Shall be investigated, enquir ed into, tried, and otherwise dealt with according to the provisions hereinafter contained. (2) Trial of offences against other laws : All offences under any other law shall be investigated, enquired into, tried, and other wise dealt with according to the same provisions, but subject to any enactment for t he time being in force regulating the manner or place of investigating, i nquiring into, trying or otherwis e dealing with such offences. PART II CONSTITUTION AND POWER OF CRI MINAL COURTS AND OFFICES"
"Can you explain Section 6 of Chapter II of Code of Criminal Procedure, 1898 (Classes of Criminal C ourts and Magistrates)?","(1) Besides the High Courts and the Courts constituted under any law other than this Code for the time bei ng in force, there shall be two classes of Criminal Courts in Pakistan, namely:- (i) Courts of Session; (ii) Courts of Magistrate. [(2) There shall be the following classes of Magistrate, namely:- (i) Magistrate of the First Class;: (ii) Magistrate of the Second Class; and (iii) Magistrate of the Third Class,] S. 6 subs by them 2 of Punjab Notifica tion No. SO(J-ll) 1-8/75 (P-v), dated ^f-3- 1996 for Punjab and by same ltem No. of Islamabad Notification No. S.R.O. 255(1)/9 6. dated ;8-4""1996 for Islamabad only. Sub Section (2) Subs. by Ordinance, XXXVII of 2001, dt.l3-8-2001. B.----Territorial Divisions"
"What is stated in Section 7 of Chapter II of Code of Criminal Procedure, 1898 (Sessions division s and districts)?","(1) Each Province shall consist of sessions divisions; and every sessions division shall, for the purposes of this Code, be a district or consist of districts. (2) Power to alter divi sions and districts: The Provincial Go vernment may alter the limits or the number of su ch divisions and districts. (3) Existing divisions and distri cts maintained till altered : The sessions divisions and districts existing when this Code comes into force shall be sessions divisions and districts respectively, unless and until they are so altered. (4) [Repeated by the Federal Laws (Revis ion and Declaration) Act, XXVI of 1951, Section 3 and II Sched.] 8. Power to divide distri cts into sub-divisions : (1) The Provincial Government may divide any district into sub- divisions, or make any portions of any such district a sub- division and may alter the lim its of any sub-division. (2) [Omitted by the Ordinance XXXVII of 2001 dt. 13-8-2001.] C. Courts and offices"
"What does Section 9 of Code of Criminal Procedure, 1898 (Court of Session) deal with?","(1) The Provincial .Government s hall establish a Court of Session for every sessions division, and appoint a Judge of such Court. (2) The Provincial Government may, by general or special order in the official Gazette, direct at what place or places the C ourt of Session shall hold its sitting; but, until such order is made, the Courts of Session shall Hold their sittings as heretofore. (3) The Provincial Government may al so appoint Additional Sessions Judges and Assistant ,Sessions Judges to exercise ju risdiction in one or more such Courts. ' (4) A Sessions Judge of one sessions division may be appointed by the Provincial Government to be also an Additional Sessions Judge of another division, and in such case he may sit for the disposal of case at such place or places in either division as the Provincial Government may direct. (5) All Courts of Session existing when th is Code comes into force shall be deemed to have been established under this Act. 10. [Omitted by the Ordinanc e XXXVII of 2001dt. 13-8-2001.]"
"Give a brief explanation of Section 11 of Chapter II in Code of Criminal Procedure, 1898 ([Omitted by the Ordinance XXXVII of 2001 dt).",13-8-2001.]
"What is Section 12 of Chapter II of Code of Criminal Procedure, 1898 (Subordinate Magistrates) about?","(1) Provincial Government may appoint as many persons as it thinks fit to be Magistrate s of the first, second or third cl ass in any district, from time to time, define focal areas within which such persons may exercise all or any of the powers, with which they may respecti vely be invested under this Code. (2) Local limits of their jurisdiction : Except as otherwise provided .by .such definition, the jurisdiction and powers of such persons shall extend throughout such district."
"Give a brief explanation of Section 13 of Chapter II in Code of Criminal Procedure, 1898 ([Omitted by the Ordinance XXXVII of 2001 dt).",13-8-2001.]
